Match ID,Date,Day,Month,daymonth,Year,DateFormat,Opponent,Home/Away,Competition,Score,Result,Score Rank,HomeTeam,HomeScore,AwayTeam,AwayScore
4055,14th Sep 1986,14,9,14-9,1986,31669,Carlisle,H,LC1,St. Helens 112 - 0 Carlisle,W,12544,Saints,112,Carlisle,0
435,15th Sep 1991,15,9,15-9,1991,33496,Trafford Borough,H,LC1,St. Helens 104 - 12 Trafford Borough,W,10672,Saints,104,Trafford B,12
5219,15th Feb 2025,15,2,15-2,2025,45703,Salford Red Devils,H,SL,St. Helens 82 - 0 Salford Red Devils,W,6724,Saints,82,Salford R,0
259,4th Jan 1996,4,1,4-1,1996,35068,Warrington,H,RTSF,St. Helens 80 - 0 Warrington,W,6400,Saints,80,Warrington,0
4564,4th Sep 2005,4,9,4-9,2005,38599,Leigh Centurions,A,SL,Leigh Centurions 4 - 78 St. Helens,W,6068,Leigh C,4,Saints,78
4178,17th Sep 1989,17,9,17-9,1989,32768,Runcorn Highfield,H,LC1,St. Helens 78 - 10 Runcorn Highfield,W,5984,Saints,78,Runcorn H,10
4616,30th Mar 2007,30,3,30-3,2007,39171,Batley Bulldogs,H,CCC4,St. Helens 78 - 14 Batley Bulldogs,W,5888,Saints,78,Batley B,14
4801,27th Apr 2012,27,4,27-4,2012,41026,Oldham Roughyeds,A,RLCC5,Oldham Roughyeds 0 - 76 St. Helens,W,5776,Oldham R,0,Saints,76
4555,26th Jun 2005,26,6,26-6,2005,38529,Wigan Warriors,H,PCC6,St. Helens 75 - 0 Wigan Warriors,W,5625,Saints,75,Wigan W,0
1415,16th Feb 1924,16,2,16-2,1924,8813,Wardley,A,CC1,Wardley 0 - 73 St. Helens,W,5329,Wardley,0,Saints,73
137,18th Jul 1999,18,7,18-7,1999,36359,Hull Sharks,H,SL,St. Helens 74 - 16 Hull Sharks,W,5220,Saints,74,Hull S,16
26,3rd Aug 2002,3,8,3-8,2002,37471,Warrington Wolves,H,SL,St. Helens 72 - 2 Warrington Wolves,W,5180,Saints,72,Warrington,2
4599,13th Aug 2006,13,8,13-8,2006,38942,Castleford Tigers,A,SL,Castleford Tigers 4 - 72 St. Helens,W,5168,Castleford,4,Saints,72
3706,5th Mar 1978,5,3,5-3,1978,28554,Bramley,H,L,St. Helens 71 - 7 Bramley,W,4992,Saints,71,Bramley,7
4768,22nd May 2011,22,5,22-5,2011,40685,Featherstone Rovers,H,RLCC5,St. Helens 70 - 0 Featherstone Rovers,W,4900,Saints,70,Feathersto,0
14,8th Feb 2003,8,2,8-2,2003,37660,Union Treiziste Catalane,A,PCC4,Union Treiziste Catalane 6 - 70 St. Helens,W,4864,Union T,6,Saints,70
4123,1st Mar 1988,1,3,1-3,1988,32203,Hunslet,H,L,St. Helens 70 - 6 Hunslet,W,4864,Saints,70,Hunslet,6
2800,14th Feb 1959,14,2,14-2,1959,21595,Barrow,H,L,St. Helens 71 - 15 Barrow,W,4816,Saints,71,Barrow,15
4623,11th May 2007,11,5,11-5,2007,39213,Rochdale Hornets,H,CCC5,St. Helens 70 - 10 Rochdale Hornets,W,4800,Saints,70,Rochdale H,10
66,7th Jul 2001,7,7,7-7,2001,37079,Warrington Wolves,H,SL,St. Helens 70 - 16 Warrington Wolves,W,4644,Saints,70,Warrington,16
326,13th Apr 1994,13,4,13-4,1994,34437,Leeds,H,L,St. Helens 68 - 0 Leeds,W,4624,Saints,68,Leeds,0
230,18th Aug 1996,18,8,18-8,1996,35295,Sheffield Eagles,H,SL,St. Helens 68 - 2 Sheffield Eagles,W,4620,Saints,68,Sheffield ,2
4007,17th Apr 1985,17,4,17-4,1985,31154,Hunslet,H,L,St. Helens 68 - 7 Hunslet,W,4575,Saints,68,Hunslet,7
4667,11th Jul 2008,11,7,11-7,2008,39640,Castleford Tigers,H,SL,St. Helens 68 - 12 Castleford Tigers,W,4480,Saints,68,Castleford,12
4733,21st May 2010,21,5,21-5,2010,40319,Hull Kingston Rovers,H,SL,St. Helens 68 - 12 Hull Kingston Rovers,W,4480,Saints,68,Hull K,12
2537,7th Mar 1953,7,3,7-3,1953,19425,Wakefield Trinity,H,L,St. Helens 69 - 17 Wakefield Trinity,W,4472,Saints,69,Wakefield ,17
4552,4th Jun 2005,4,6,4-6,2005,38507,Bradford Bulls,A,SL,Bradford Bulls 4 - 66 St. Helens,W,4340,Bradford B,4,Saints,66
5010,20th Apr 2018,20,4,20-4,2018,43210,Huddersfield Giants,H,SL,St. Helens 66 - 4 Huddersfield Giants,W,4340,Saints,66,Huddersfld,4
4697,30th May 2009,30,5,30-5,2009,39963,Gateshead Thunder,A,CCC6,Gateshead Thunder 6 - 66 St. Helens,W,4320,Gateshead ,6,Saints,66
171,2nd Aug 1998,2,8,2-8,1998,36009,Huddersfield Giants,H,SL,St. Helens 68 - 18 Huddersfield Giants,W,4300,Saints,68,Huddersfld,18
229,26th Aug 1996,26,8,26-8,1996,35303,Warrington Wolves,H,SL,St. Helens 66 - 14 Warrington Wolves,W,4160,Saints,66,Warrington,14
4691,19th Apr 2009,19,4,19-4,2009,39922,Castleford Tigers,A,SL,Castleford Tigers 22 - 68 St. Helens,W,4140,Castleford,22,Saints,68
2644,24th Sep 1955,24,9,24-9,1955,20356,Barrow,H,L,St. Helens 66 - 15 Barrow,W,4131,Saints,66,Barrow,15
74,18th May 2001,18,5,18-5,2001,37029,Salford City Reds,H,SL,St. Helens 66 - 16 Salford City Reds,W,4100,Saints,66,Salford C,16
24,23rd Aug 2002,23,8,23-8,2002,37491,Halifax Blue Sox,H,SL,St. Helens 64 - 0 Halifax Blue Sox,W,4096,Saints,64,Halifax B,0
4120,17th Feb 1988,17,2,17-2,1988,32190,Hull,H,L,St. Helens 64 - 2 Hull,W,4092,Saints,64,Hull,2
245,5th May 1996,5,5,5-5,1996,35190,Oldham Bears,H,SL,St. Helens 66 - 18 Oldham Bears,W,4032,Saints,66,Oldham B,18
375,6th Jan 1993,6,1,6-1,1993,33975,Leigh,H,L,St. Helens 64 - 9 Leigh,W,4015,Saints,64,Leigh,9
20,13th Sep 2002,13,9,13-9,2002,37512,Hull,H,SL,St. Helens 64 - 10 Hull,W,3996,Saints,64,Hull,10
276,10th Sep 1995,10,9,10-9,1995,34952,Workington Town,A,L,Workington Town 22 - 66 St. Helens,W,3872,Workington,22,Saints,66
3287,20th Sep 1969,20,9,20-9,1969,25466,Rochdale Hornets,H,L,St. Helens 63 - 10 Rochdale Hornets,W,3869,Saints,63,Rochdale H,10
251,31st Mar 1996,31,3,31-3,1996,35155,Workington Town,A,SL,Workington Town 0 - 62 St. Helens,W,3844,Workington,0,Saints,62
3381,5th Jun 1971,5,6,5-6,1971,26089,St. Gaudens,H,ECF(2),St. Helens 62 - 0 St. Gaudens,W,3844,Saints,62,St Gaudens,0
3998,10th Mar 1985,10,3,10-3,1985,31116,Workington Town,H,L,St. Helens 62 - 0 Workington Town,W,3844,Saints,62,Workington,0
4548,6th May 2005,6,5,6-5,2005,38478,York City Knights,H,PCC5,St. Helens 62 - 0 York City Knights,W,3844,Saints,62,York C,0
135,30th Jul 1999,30,7,30-7,1999,36371,Huddersfield Giants,H,SL,St. Helens 64 - 16 Huddersfield Giants,W,3840,Saints,64,Huddersfld,16
4540,19th Mar 2005,19,3,19-3,2005,38430,Wakefield Trinity Wildcats,H,SL,St. Helens 64 - 16 Wakefield Trinity Wildcats,W,3840,Saints,64,Wakefield ,16
2354,18th Dec 1948,18,12,18-12,1948,17885,Whitehaven,H,L,St. Helens 61 - 0 Whitehaven,W,3721,Saints,61,Whitehaven,0
4049,16th Apr 1986,16,4,16-4,1986,31518,Castleford,H,L,St. Helens 62 - 12 Castleford,W,3700,Saints,62,Castleford,12
2,16th May 2003,16,5,16-5,2003,37757,London Broncos,H,SL,St. Helens 62 - 16 London Broncos,W,3588,Saints,62,London B,16
440,14th Apr 1991,14,4,14-4,1991,33342,Warrington,H,L,St. Helens 62 - 16 Warrington,W,3588,Saints,62,Warrington,16
5050,22nd Apr 2019,22,4,22-4,2019,43577,Hull FC,H,SL,St. Helens 62 - 16 Hull FC,W,3588,Saints,62,Hull FC,16
4562,12th Aug 2005,12,8,12-8,2005,38576,Wakefield Trinity Wildcats,H,SL,St. Helens 60 - 4 Wakefield Trinity Wildcats,W,3584,Saints,60,Wakefield ,4
5200,10th May 2024,10,5,10-5,2024,45422,Castleford Tigers,A,SL,Castleford Tigers 4 - 60 St. Helens,W,3584,Castleford,4,Saints,60
5147,14th Aug 2022,14,8,14-8,2022,44787,Hull FC,A,SL,Hull FC 6 - 60 St. Helens,W,3564,Hull FC,6,Saints,60
3983,18th Nov 1984,18,11,18-11,1984,31004,Keighley,H,JP1,St. Helens 60 - 8 Keighley,W,3536,Saints,60,Keighley,8
150,4th May 1999,4,5,4-5,1999,36284,Leeds Rhinos,H,SL,St. Helens 62 - 18 Leeds Rhinos,W,3520,Saints,62,Leeds R,18
4184,12th Nov 1989,12,11,12-11,1989,32824,Barrow,H,L,St. Helens 62 - 18 Barrow,W,3520,Saints,62,Barrow,18
5011,26th Apr 2018,26,4,26-4,2018,43216,Salford Red Devils,A,SL,Salford Red Devils 10 - 60 St. Helens,W,3500,Salford R,10,Saints,60
2956,1st Sep 1962,1,9,1-9,1962,22890,Salford,H,WDC,St. Helens 59 - 0 Salford,W,3481,Saints,59,Salford,0
3982,11th Nov 1984,11,11,11-11,1984,30997,Barrow,H,L,St. Helens 59 - 2 Barrow,W,3477,Saints,59,Barrow,2
2710,26th Jan 1957,26,1,26-1,1957,20846,Barrow,H,L,St. Helens 59 - 5 Barrow,W,3456,Saints,59,Barrow,5
538,20th Mar 1897,20,3,20-3,1897,692946,Lees,H,CC1,St. Helens 58 - 0 Lees,W,3364,Saints,58,Lees,0
4225,20th Jun 2003,20,6,20-6,2003,37792,Halifax,H,SL,St. Helens 58 - 2 Halifax,W,3360,Saints,58,Halifax,2
239,16th Jun 1996,16,6,16-6,1996,35232,Workington Town,H,SL,St. Helens 60 - 16 Workington Town,W,3344,Saints,60,Workington,16
4544,8th Apr 2005,8,4,8-4,2005,38450,Leigh Centurions,H,SL,St. Helens 60 - 16 Leigh Centurions,W,3344,Saints,60,Leigh C,16
2690,29th Sep 1956,29,9,29-9,1956,20727,Blackpool Borough,A,L,Blackpool Borough 5 - 58 St. Helens,W,3339,Blackpool ,5,Saints,58
176,14th Jun 1998,14,6,14-6,1998,35960,London Broncos,H,SL,St. Helens 58 - 6 London Broncos,W,3328,Saints,58,London B,6
242,27th May 1996,27,5,27-5,1996,35212,Castleford Tigers,H,SL,St. Helens 62 - 24 Castleford Tigers,W,3268,Saints,62,Castleford,24
267,3rd Dec 1995,3,12,3-12,1995,35036,Workington Town,H,L,St. Helens 58 - 10 Workington Town,W,3264,Saints,58,Workington,10
4654,11th Apr 2008,11,4,11-4,2008,39549,Harlequins RL,H,SL,St. Helens 58 - 12 Harlequins RL,W,3220,Saints,58,Harlequins,12
2819,17th Aug 1959,17,8,17-8,1959,21779,Blackpool Borough,H,L,St. Helens 59 - 17 Blackpool Borough,W,3192,Saints,59,Blackpool ,17
154,5th Apr 1999,5,4,5-4,1999,36255,Bradford Bulls,H,SL,St. Helens 58 - 14 Bradford Bulls,W,3168,Saints,58,Bradford B,14
2682,20th Aug 1956,20,8,20-8,1956,20687,Liverpool City,A,L,Liverpool City 5 - 56 St. Helens,W,3111,Liverpool ,5,Saints,56
254,4th Feb 1996,4,2,4-2,1996,35099,Castleford Tigers,A,SCCC4,Castleford Tigers 16 - 58 St. Helens,W,3108,Castleford,16,Saints,58
4876,19th Jul 2014,19,7,19-7,2014,41839,London Broncos,A,SL,London Broncos 16 - 58 St. Helens,W,3108,London B,16,Saints,58
13,21st Apr 2003,21,4,21-4,2003,37732,Warrington Wolves,H,SL,St. Helens 56 - 6 Warrington Wolves,W,3100,Saints,56,Warrington,6
36,24th May 2002,24,5,24-5,2002,37400,Widnes Vikings,H,SL,St. Helens 56 - 6 Widnes Vikings,W,3100,Saints,56,Widnes V,6
4598,4th Aug 2006,4,8,4-8,2006,38933,Huddersfield Giants,H,SL,St. Helens 56 - 8 Huddersfield Giants,W,3072,Saints,56,Huddersfld,8
4028,11th Dec 1985,11,12,11-12,1985,31392,Hull,H,JP3,St. Helens 57 - 14 Hull,W,3053,Saints,57,Hull,14
4507,30th Apr 2004,30,4,30-4,2004,38107,Leeds Rhinos,H,SL,St. Helens 56 - 10 Leeds Rhinos,W,3036,Saints,56,Leeds R,10
4589,3rd Jun 2006,3,6,3-6,2006,38871,Catalans Dragons,H,PCC6,St. Helens 56 - 10 Catalans Dragons,W,3036,Saints,56,Catalans D,10
